Date,AZN LN Equity,HSBA LN Equity,ULVR LN Equity,BP/ LN Equity,DGE LN Equity,GSK LN Equity,BATS LN Equity,RIO LN Equity,REL LN Equity,RKT LN Equity,LSEG LN Equity,NG/ LN Equity,CPG LN Equity,BA/ LN Equity,LLOY LN Equity,AAL LN Equity,BARC LN Equity,PRU LN Equity,FLTR LN Equity,AHT LN Equity,III LN Equity,TSCO LN Equity,RR/ LN Equity,SSE LN Equity,STAN LN Equity,VOD LN Equity,RTO LN Equity,IMB LN Equity,LGEN LN Equity,NWG LN Equity,AV/ LN Equity,INF LN Equity,IHG LN Equity,SGE LN Equity,BNZL LN Equity,SMT LN Equity,SN/ LN Equity,NXT LN Equity,SGRO LN Equity,CNA LN Equity,WPP LN Equity,BT/A LN Equity,HLMA LN Equity,ADM LN Equity,BRBY LN Equity,ABF LN Equity,SPX LN Equity,CRDA LN Equity,WTB LN Equity,ITRK LN Equity,UU/ LN Equity,MRO LN Equity,PSON LN Equity,SVT LN Equity,ENT LN Equity,SMIN LN Equity,IAG LN Equity,ANTO LN Equity,WEIR LN Equity,MKS LN Equity,FCIT LN Equity,DCC LN Equity,STJ LN Equity,SBRY LN Equity,LAND LN Equity,BDEV LN Equity,BKG LN Equity,KGF LN Equity,DPH LN Equity,TW/ LN Equity,IMI LN Equity,DPLM LN Equity,HWDN LN Equity,JD/ LN Equity,SMDS LN Equity,BEZ LN Equity,RS1 LN Equity,SDR LN Equity,UTG LN Equity
2011-01-31,3030.5,680.6,1816.0,484.85,1202.0,1141.578,2305.0,4280.0,552.5,3318.276,779.29,602.727,613.828,342.0,63.18,3048.259,271.35,577.735,2696.181,166.0,310.0,510.086,218.941,1159.0,1550.48,218.468,100.1,1784.0,111.0,448.862,582.632,396.711,2013.698,310.43,760.5,141.0,694.0,1977.0,285.186,319.9,772.5,175.5,337.9,1643.0,1074.0,1062.0,1951.384,1580.855,1490.577,1737.0,543.5,889.753,1024.0,1368.0,114.5,1360.0,169.989,1406.0,1584.0,340.964,309.3,1875.19,303.0,381.5,719.467,92.15,884.5,252.0,462.293,34.68,995.429,289.0,117.2,8.34,129.411,118.9,261.2,306.51,201.36
2011-02-01,3031.5,687.7,1825.0,491.0,1200.0,1159.787,2321.5,4344.0,554.0,3370.079,810.148,610.909,609.408,333.6,64.43,3152.273,275.738,582.008,2750.081,173.0,317.3,510.466,219.113,1177.0,1593.31,220.524,100.9,1794.0,116.2,456.508,593.684,398.644,1995.322,317.688,772.5,142.3,703.0,2016.0,290.158,327.9,779.0,179.1,343.9,1710.0,1113.0,1073.0,1987.999,1633.904,1503.464,1761.0,555.0,890.6,1047.0,1405.0,106.0,1361.0,172.508,1472.0,1633.0,342.685,312.8,1951.22,308.0,386.7,726.933,91.1,885.5,253.0,462.746,34.94,1008.571,292.75,118.0,8.475,134.154,119.0,265.3,316.37,207.708
2011-02-02,2947.5,701.4,1857.0,488.0,1203.0,1140.566,2353.0,4507.5,557.5,3412.107,815.675,598.363,613.828,332.0,64.36,3258.278,278.971,598.246,2695.924,177.0,314.5,514.33,214.995,1162.0,1620.91,220.649,100.5,1900.0,115.7,457.585,590.526,403.156,1998.384,316.321,769.0,142.8,706.5,2029.0,292.548,326.8,778.5,178.5,340.4,1733.0,1130.0,1080.0,1999.845,1602.074,1511.196,1760.0,550.0,869.98,1042.0,1400.0,107.5,1327.0,171.779,1509.0,1592.0,344.311,312.9,1928.904,309.9,389.0,721.6,91.55,885.0,254.0,462.293,35.05,982.286,294.5,117.8,8.44,133.321,118.4,265.2,315.35,203.244
2011-02-03,2963.0,708.0,1837.0,477.95,1220.0,1181.536,2388.0,4494.0,553.5,3387.672,803.239,595.636,622.116,329.6,63.0,3224.934,277.955,595.682,2687.42,185.0,314.5,513.0,218.941,1166.0,1612.35,220.524,100.3,1908.0,115.4,468.246,583.289,402.419,2056.575,308.01,767.5,142.0,712.0,2001.0,294.269,326.1,778.0,184.9,336.4,1696.0,1138.0,1071.0,1971.845,1593.587,1505.182,1757.0,555.0,873.935,1040.0,1390.0,108.5,1331.0,172.442,1524.0,1565.0,342.016,311.7,1880.319,308.0,387.0,726.933,91.5,913.0,254.5,462.746,35.01,989.143,294.25,116.9,8.63,132.359,117.4,267.2,311.95,198.384
2011-02-04,2933.0,706.5,1831.0,476.25,1234.0,1184.57,2389.0,4497.0,555.0,3374.966,808.306,599.454,614.933,336.9,63.73,3319.492,284.606,609.356,2708.033,184.7,313.2,509.833,220.829,1166.0,1610.44,223.639,101.9,1931.0,116.5,470.616,600.263,410.705,2050.45,311.482,768.0,142.5,702.0,1989.0,303.064,328.1,793.5,187.7,340.0,1703.0,1136.0,1069.0,1984.769,1582.977,1511.196,1763.0,579.0,882.409,1040.0,1440.0,108.5,1350.0,171.447,1491.0,1576.0,340.581,313.0,1889.978,306.0,389.7,732.8,94.0,934.5,254.9,455.948,37.41,998.857,300.5,117.0,8.42,132.808,117.2,260.5,314.67,203.344
2011-02-07,2957.0,706.0,1833.0,481.45,1248.0,1202.779,2444.0,4625.0,569.0,3361.282,814.293,602.182,614.381,341.2,64.57,3395.139,288.901,611.92,2764.478,186.4,319.4,509.326,221.515,1169.0,1612.35,221.209,103.0,1970.0,118.2,476.216,605.395,414.848,2094.858,314.848,779.0,144.4,712.5,1998.0,304.594,330.6,811.5,184.7,343.5,1719.0,1169.0,1063.0,2019.23,1603.135,1523.223,1787.0,575.0,903.028,1053.0,1452.0,109.5,1374.0,176.353,1495.0,1600.0,344.12,315.2,1893.501,310.9,390.1,732.267,96.0,939.0,253.7,462.293,37.56,1022.286,303.0,120.3,8.44,135.244,119.8,267.7,317.05,195.408
2011-02-08,3018.0,718.1,1844.0,484.5,1255.0,1212.895,2427.0,4712.0,580.5,3367.146,821.662,603.273,614.933,346.0,65.95,3390.162,290.379,611.493,2769.757,186.4,316.0,501.6,224.432,1166.0,1598.07,223.764,103.4,1965.0,120.5,479.554,610.526,420.004,2127.016,312.323,779.0,144.3,714.0,2039.0,306.219,328.0,817.0,184.3,340.0,1714.0,1200.0,1061.0,1996.615,1592.526,1540.406,1806.0,568.0,905.006,1051.0,1442.0,107.5,1403.0,177.745,1513.0,1621.0,357.032,316.1,1875.871,310.1,390.1,741.867,96.9,945.5,254.9,465.012,37.76,1030.286,304.5,119.1,8.44,136.333,127.7,268.8,316.2,201.36
2011-02-09,3034.5,723.0,1823.0,476.45,1253.0,1187.605,2403.5,4659.0,583.0,3196.101,847.454,612.0,614.933,350.9,65.44,3282.167,292.273,625.167,2799.322,185.4,314.2,499.7,224.947,1167.0,1570.47,224.386,102.6,1975.0,121.7,476.969,608.947,419.083,2140.798,301.594,778.5,144.0,712.0,2055.0,304.69,333.8,812.0,186.0,339.5,1707.0,1183.0,1059.0,1999.845,1544.782,1577.348,1816.0,570.0,900.486,1060.0,1469.0,107.5,1429.0,172.11,1456.0,1654.0,356.84,314.5,1890.544,309.2,391.2,745.067,96.2,946.0,254.8,455.495,36.94,1042.857,301.0,119.5,8.53,137.166,130.7,271.9,312.97,202.352
2011-02-10,3026.5,715.0,1814.0,476.7,1195.0,1184.065,2401.0,4549.0,583.5,3197.079,835.94,616.363,608.303,350.1,65.8,3293.115,289.363,613.202,2776.901,187.6,312.6,500.016,223.059,1173.0,1562.85,225.072,101.9,1960.0,118.8,477.077,601.053,420.28,2127.016,308.642,778.5,142.8,727.0,2063.0,304.498,333.8,824.0,185.7,339.5,1704.0,1187.0,1044.0,1997.692,1556.452,1578.207,1807.0,565.0,877.324,1060.0,1440.0,107.5,1410.0,166.408,1430.0,1661.0,355.406,313.3,1876.65,305.4,387.7,744.533,96.35,946.5,253.0,442.804,36.19,1030.286,300.0,124.0,8.51,138.897,134.1,272.8,309.57,202.054
2011-02-11,3020.5,714.0,1807.0,475.75,1206.0,1189.628,2423.5,4623.5,590.5,3215.649,859.429,624.545,611.618,356.5,66.84,3405.59,287.377,618.757,2726.03,186.5,315.6,500.396,225.633,1181.0,1589.03,224.262,100.4,1955.0,122.7,473.739,601.184,421.569,2104.046,313.691,778.0,145.7,728.5,2000.0,307.175,344.6,832.0,185.3,340.0,1704.0,1176.0,1045.0,1982.615,1562.818,1581.644,1825.0,573.0,879.019,1064.0,1441.0,103.5,1426.0,165.083,1459.0,1695.0,351.963,316.2,1884.205,306.5,388.5,746.667,98.55,980.0,251.8,453.682,36.79,1042.286,299.75,124.3,8.75,137.038,133.5,272.3,306.34,206.716
2011-02-14,3004.0,707.9,1806.0,480.0,1194.0,1188.111,2403.0,4682.0,584.0,3203.92,856.666,624.545,605.541,352.2,65.7,3421.018,287.054,613.202,2693.914,185.1,312.7,499.446,224.603,1183.0,1612.35,224.137,100.0,1979.0,121.5,476.754,597.368,423.686,2122.422,311.482,783.0,147.6,734.0,2000.0,305.932,340.3,836.5,183.8,344.0,1701.0,1188.0,1045.0,2004.153,1613.745,1577.348,1815.0,577.5,888.34,1054.0,1446.0,103.5,1425.0,162.431,1486.0,1763.0,347.659,316.8,1873.275,305.8,389.0,747.733,98.1,970.5,252.9,450.962,36.89,1050.286,303.5,127.2,8.5,135.564,136.7,273.2,304.64,206.319
2011-02-15,3006.5,701.6,1793.0,486.2,1198.0,1188.111,2424.0,4550.0,576.0,3220.536,829.031,615.818,608.856,350.8,66.88,3291.125,303.681,609.356,2627.42,181.7,311.5,505.78,219.628,1183.0,1597.12,223.701,98.2,1946.0,120.8,487.308,600.658,417.978,2079.545,304.434,780.0,146.7,735.0,2000.0,305.932,339.8,830.0,182.0,339.4,1700.0,1180.0,1044.0,1943.846,1603.135,1600.544,1815.0,573.5,865.743,1056.0,1450.0,103.0,1400.0,163.69,1428.0,1730.0,345.841,315.2,1858.704,304.0,389.0,748.8,98.2,968.0,255.3,452.775,36.63,1031.429,300.0,127.3,8.895,133.962,133.5,271.2,298.52,205.327
2011-02-16,3035.0,721.5,1798.0,488.85,1199.0,1193.675,2421.5,4520.0,574.0,3208.807,847.454,620.182,618.801,355.7,67.19,3315.013,306.683,627.304,2634.977,182.2,316.4,508.313,221.515,1190.0,1609.49,227.688,98.0,1946.0,121.5,508.308,606.974,422.397,2143.861,305.696,778.0,148.5,733.5,1997.0,308.131,345.8,843.5,185.4,342.0,1705.0,1175.0,1045.0,1967.538,1589.343,1597.967,1800.0,583.0,880.714,1052.0,1451.0,103.0,1386.0,167.867,1432.0,1734.0,348.424,316.7,1884.946,307.5,389.3,775.467,98.35,969.5,257.3,436.459,37.03,1041.143,305.0,127.5,8.9,135.756,134.1,273.2,295.63,205.129
